Date_Id,Date_Full,Day Name,Day Number of Week,Day Number of Month,Day Number of Year,Week Number,Month Number,Month Name,Calender Quarter,Fiscal Quarter,Calender Year,Fiscal Year
19830702,1983-07-02,Saturday,7,2,182,26,7,July,3,4,1983,1983
19830703,1983-07-03,Sunday,1,3,183,27,7,July,3,4,1983,1983
19830704,1983-07-04,Monday,2,4,184,27,7,July,3,4,1983,1983
19830705,1983-07-05,Tuesday,3,5,185,27,7,July,3,4,1983,1983
19830706,1983-07-06,Wednesday,4,6,186,27,7,July,3,4,1983,1983
19830707,1983-07-07,Thursday,5,7,187,27,7,July,3,4,1983,1983
19830708,1983-07-08,Friday,6,8,188,27,7,July,3,4,1983,1983
19830709,1983-07-09,Saturday,7,9,189,27,7,July,3,4,1983,1983
19830710,1983-07-10,Sunday,1,10,190,28,7,July,3,4,1983,1983
19830711,1983-07-11,Monday,2,11,191,28,7,July,3,4,1983,1983
19830712,1983-07-12,Tuesday,3,12,192,28,7,July,3,4,1983,1983
19830713,1983-07-13,Wednesday,4,13,193,28,7,July,3,4,1983,1983
19830714,1983-07-14,Thursday,5,14,194,28,7,July,3,4,1983,1983
19830715,1983-07-15,Friday,6,15,195,28,7,July,3,4,1983,1983
19830716,1983-07-16,Saturday,7,16,196,28,7,July,3,4,1983,1983
19830717,1983-07-17,Sunday,1,17,197,29,7,July,3,4,1983,1983
19830718,1983-07-18,Monday,2,18,198,29,7,July,3,4,1983,1983
19830719,1983-07-19,Tuesday,3,19,199,29,7,July,3,4,1983,1983
19830720,1983-07-20,Wednesday,4,20,200,29,7,July,3,4,1983,1983
19830721,1983-07-21,Thursday,5,21,201,29,7,July,3,4,1983,1983
19830722,1983-07-22,Friday,6,22,202,29,7,July,3,4,1983,1983
19830723,1983-07-23,Saturday,7,23,203,29,7,July,3,4,1983,1983
19830724,1983-07-24,Sunday,1,24,204,30,7,July,3,4,1983,1983
19830725,1983-07-25,Monday,2,25,205,30,7,July,3,4,1983,1983
19830726,1983-07-26,Tuesday,3,26,206,30,7,July,3,4,1983,1983
19830727,1983-07-27,Wednesday,4,27,207,30,7,July,3,4,1983,1983
19830728,1983-07-28,Thursday,5,28,208,30,7,July,3,4,1983,1983
19830729,1983-07-29,Friday,6,29,209,30,7,July,3,4,1983,1983
19830730,1983-07-30,Saturday,7,30,210,30,7,July,3,4,1983,1983
19830731,1983-07-31,Sunday,1,31,211,31,7,July,3,4,1983,1983
19830801,1983-08-01,Monday,2,1,212,31,8,August,3,4,1983,1983
19830802,1983-08-02,Tuesday,3,2,213,31,8,August,3,4,1983,1983
19830803,1983-08-03,Wednesday,4,3,214,31,8,August,3,4,1983,1983
19830804,1983-08-04,Thursday,5,4,215,31,8,August,3,4,1983,1983
19830805,1983-08-05,Friday,6,5,216,31,8,August,3,4,1983,1983
19830806,1983-08-06,Saturday,7,6,217,31,8,August,3,4,1983,1983
19830807,1983-08-07,Sunday,1,7,218,32,8,August,3,4,1983,1983
19830808,1983-08-08,Monday,2,8,219,32,8,August,3,4,1983,1983
19830809,1983-08-09,Tuesday,3,9,220,32,8,August,3,4,1983,1983
19830810,1983-08-10,Wednesday,4,10,221,32,8,August,3,4,1983,1983
19830811,1983-08-11,Thursday,5,11,222,32,8,August,3,4,1983,1983
19830812,1983-08-12,Friday,6,12,223,32,8,August,3,4,1983,1983
19830813,1983-08-13,Saturday,7,13,224,32,8,August,3,4,1983,1983
19830814,1983-08-14,Sunday,1,14,225,33,8,August,3,4,1983,1983
19830815,1983-08-15,Monday,2,15,226,33,8,August,3,4,1983,1983
19830816,1983-08-16,Tuesday,3,16,227,33,8,August,3,4,1983,1983
19830817,1983-08-17,Wednesday,4,17,228,33,8,August,3,4,1983,1983
19830818,1983-08-18,Thursday,5,18,229,33,8,August,3,4,1983,1983
19830819,1983-08-19,Friday,6,19,230,33,8,August,3,4,1983,1983
19830820,1983-08-20,Saturday,7,20,231,33,8,August,3,4,1983,1983
19830821,1983-08-21,Sunday,1,21,232,34,8,August,3,4,1983,1983
19830822,1983-08-22,Monday,2,22,233,34,8,August,3,4,1983,1983
19830823,1983-08-23,Tuesday,3,23,234,34,8,August,3,4,1983,1983
19830824,1983-08-24,Wednesday,4,24,235,34,8,August,3,4,1983,1983
19830825,1983-08-25,Thursday,5,25,236,34,8,August,3,4,1983,1983
19830826,1983-08-26,Friday,6,26,237,34,8,August,3,4,1983,1983
19830827,1983-08-27,Saturday,7,27,238,34,8,August,3,4,1983,1983
19830828,1983-08-28,Sunday,1,28,239,35,8,August,3,4,1983,1983
19830829,1983-08-29,Monday,2,29,240,35,8,August,3,4,1983,1983
19830830,1983-08-30,Tuesday,3,30,241,35,8,August,3,4,1983,1983
19830831,1983-08-31,Wednesday,4,31,242,35,8,August,3,4,1983,1983
19830901,1983-09-01,Thursday,5,1,243,35,9,September,3,4,1983,1983
19830902,1983-09-02,Friday,6,2,244,35,9,September,3,4,1983,1983
19830903,1983-09-03,Saturday,7,3,245,35,9,September,3,4,1983,1983
19830904,1983-09-04,Sunday,1,4,246,36,9,September,3,4,1983,1983
19830905,1983-09-05,Monday,2,5,247,36,9,September,3,4,1983,1983
19830906,1983-09-06,Tuesday,3,6,248,36,9,September,3,4,1983,1983
19830907,1983-09-07,Wednesday,4,7,249,36,9,September,3,4,1983,1983
19830908,1983-09-08,Thursday,5,8,250,36,9,September,3,4,1983,1983
19830909,1983-09-09,Friday,6,9,251,36,9,September,3,4,1983,1983
19830910,1983-09-10,Saturday,7,10,252,36,9,September,3,4,1983,1983
19830911,1983-09-11,Sunday,1,11,253,37,9,September,3,4,1983,1983
19830912,1983-09-12,Monday,2,12,254,37,9,September,3,4,1983,1983
19830913,1983-09-13,Tuesday,3,13,255,37,9,September,3,4,1983,1983
19830914,1983-09-14,Wednesday,4,14,256,37,9,September,3,4,1983,1983
19830915,1983-09-15,Thursday,5,15,257,37,9,September,3,4,1983,1983
19830916,1983-09-16,Friday,6,16,258,37,9,September,3,4,1983,1983
19830917,1983-09-17,Saturday,7,17,259,37,9,September,3,4,1983,1983
19830918,1983-09-18,Sunday,1,18,260,38,9,September,3,4,1983,1983
19830919,1983-09-19,Monday,2,19,261,38,9,September,3,4,1983,1983
