Date,Year,Month,Value
2017-06-30,2017,6,57.86
2017-05-31,2017,5,61.63
2017-04-30,2017,4,70.4
2017-03-31,2017,3,87.2
2017-02-28,2017,2,88.8
2017-01-31,2017,1,80.82
2016-12-31,2016,12,79.43
2016-11-30,2016,11,74.14
2016-10-31,2016,10,58.95
2016-09-30,2016,9,57.66
2016-08-31,2016,8,60.87
2016-07-31,2016,7,57.31
2016-06-30,2016,6,52.34
2016-05-31,2016,5,55.89
2016-04-30,2016,4,60.97
2016-03-31,2016,3,55.52
2016-02-29,2016,2,46.18
2016-01-31,2016,1,41.25
2015-12-31,2015,12,39.6
2015-11-30,2015,11,46.16
2015-10-31,2015,10,52.74
2015-09-30,2015,9,56.43
2015-08-31,2015,8,55.38
2015-07-31,2015,7,51.5
2015-06-30,2015,6,62.29
2015-05-31,2015,5,60.23
2015-04-30,2015,4,51.15
2015-03-31,2015,3,56.94
2015-02-28,2015,2,62.69
2015-01-31,2015,1,67.39
2014-12-31,2014,12,68.8
2014-11-30,2014,11,73.12
2014-10-31,2014,10,80.09
2014-09-30,2014,9,82.27
2014-08-31,2014,8,92.63
2014-07-31,2014,7,95.97
2014-06-30,2014,6,92.74
2014-05-31,2014,5,100.56
2014-04-30,2014,4,114.58
2014-03-31,2014,3,111.83
2014-02-28,2014,2,121.37
2014-01-31,2014,1,128.12
2013-12-31,2013,12,135.79
2013-11-30,2013,11,136.32
2013-10-31,2013,10,132.57
2013-09-30,2013,9,134.19
2013-08-31,2013,8,137.06
2013-07-31,2013,7,127.19
2013-06-30,2013,6,114.81
2013-05-31,2013,5,124.01
2013-04-30,2013,4,137.39
2013-03-31,2013,3,139.87
2013-02-28,2013,2,154.64
2013-01-31,2013,1,150.49
2012-12-31,2012,12,128.87
2012-11-30,2012,11,120.35
2012-10-31,2012,10,113.95
2012-09-30,2012,9,99.47
2012-08-31,2012,8,107.8
2012-07-31,2012,7,127.94
2012-06-30,2012,6,134.62
2012-05-31,2012,5,136.27
2012-04-30,2012,4,147.65
2012-03-31,2012,3,144.66
2012-02-29,2012,2,140.4
2012-01-31,2012,1,140.35
2011-12-31,2011,12,136.45
2011-11-30,2011,11,135.54
2011-10-31,2011,10,150.43
2011-09-30,2011,9,177.23
2011-08-31,2011,8,177.45
2011-07-31,2011,7,172.98
2011-06-30,2011,6,170.88
2011-05-31,2011,5,177.09
2011-04-30,2011,4,179.26
2011-03-31,2011,3,169.36
2011-02-28,2011,2,187.18
2011-01-31,2011,1,179.63
2010-12-31,2010,12,168.53
2010-11-30,2010,11,160.55
2010-10-31,2010,10,148.48
2010-09-30,2010,9,140.63
2010-08-31,2010,8,145.34
2010-07-31,2010,7,126.36
2010-06-30,2010,6,143.63
2010-05-31,2010,5,161.35
2010-04-30,2010,4,172.47
2010-03-31,2010,3,139.77
2010-02-28,2010,2,127.62
2010-01-31,2010,1,125.91
2009-12-31,2009,12,105.25
2009-11-30,2009,11,99.26
2009-10-31,2009,10,86.79
2009-09-30,2009,9,80.71
2009-08-31,2009,8,97.67
2009-07-31,2009,7,83.95
2009-06-30,2009,6,71.66
2009-05-31,2009,5,62.69
2009-04-30,2009,4,59.78
2009-03-31,2009,3,64.07
2009-02-28,2009,2,75.59
2009-01-31,2009,1,72.51
2008-12-31,2008,12,69.98
2008-11-30,2008,11,60.8
2008-10-31,2008,10,60.8
2008-09-30,2008,9,60.8
2008-08-31,2008,8,60.8
2008-07-31,2008,7,60.8
2008-06-30,2008,6,60.8
2008-05-31,2008,5,60.8
2008-04-30,2008,4,60.8
2008-03-31,2008,3,60.8
2008-02-29,2008,2,60.8
2008-01-31,2008,1,60.8
2007-12-31,2007,12,36.63
2007-11-30,2007,11,36.63
2007-10-31,2007,10,36.63
2007-09-30,2007,9,36.63
2007-08-31,2007,8,36.63
2007-07-31,2007,7,36.63
2007-06-30,2007,6,36.63
2007-05-31,2007,5,36.63
2007-04-30,2007,4,36.63
2007-03-31,2007,3,36.63
2007-02-28,2007,2,36.63
