Time_Id,Seconds Count,Time-24hr,Time-AMPM,Hour-24hr,Hour-AMPM,Minute,Second
0,0,0:00:00,12:00:00 AM,0,0,0,0
1,1,0:00:01,12:00:01 AM,0,0,0,1
2,2,0:00:02,12:00:02 AM,0,0,0,2
3,3,0:00:03,12:00:03 AM,0,0,0,3
4,4,0:00:04,12:00:04 AM,0,0,0,4
5,5,0:00:05,12:00:05 AM,0,0,0,5
6,6,0:00:06,12:00:06 AM,0,0,0,6
7,7,0:00:07,12:00:07 AM,0,0,0,7
8,8,0:00:08,12:00:08 AM,0,0,0,8
9,9,0:00:09,12:00:09 AM,0,0,0,9
10,10,0:00:10,12:00:10 AM,0,0,0,10
11,11,0:00:11,12:00:11 AM,0,0,0,11
12,12,0:00:12,12:00:12 AM,0,0,0,12
13,13,0:00:13,12:00:13 AM,0,0,0,13
14,14,0:00:14,12:00:14 AM,0,0,0,14
15,15,0:00:15,12:00:15 AM,0,0,0,15
16,16,0:00:16,12:00:16 AM,0,0,0,16
17,17,0:00:17,12:00:17 AM,0,0,0,17
18,18,0:00:18,12:00:18 AM,0,0,0,18
19,19,0:00:19,12:00:19 AM,0,0,0,19
20,20,0:00:20,12:00:20 AM,0,0,0,20
21,21,0:00:21,12:00:21 AM,0,0,0,21
22,22,0:00:22,12:00:22 AM,0,0,0,22
23,23,0:00:23,12:00:23 AM,0,0,0,23
24,24,0:00:24,12:00:24 AM,0,0,0,24
25,25,0:00:25,12:00:25 AM,0,0,0,25
26,26,0:00:26,12:00:26 AM,0,0,0,26
27,27,0:00:27,12:00:27 AM,0,0,0,27
28,28,0:00:28,12:00:28 AM,0,0,0,28
29,29,0:00:29,12:00:29 AM,0,0,0,29
30,30,0:00:30,12:00:30 AM,0,0,0,30
31,31,0:00:31,12:00:31 AM,0,0,0,31
32,32,0:00:32,12:00:32 AM,0,0,0,32
33,33,0:00:33,12:00:33 AM,0,0,0,33
34,34,0:00:34,12:00:34 AM,0,0,0,34
35,35,0:00:35,12:00:35 AM,0,0,0,35
36,36,0:00:36,12:00:36 AM,0,0,0,36
37,37,0:00:37,12:00:37 AM,0,0,0,37
38,38,0:00:38,12:00:38 AM,0,0,0,38
39,39,0:00:39,12:00:39 AM,0,0,0,39
40,40,0:00:40,12:00:40 AM,0,0,0,40
41,41,0:00:41,12:00:41 AM,0,0,0,41
42,42,0:00:42,12:00:42 AM,0,0,0,42
43,43,0:00:43,12:00:43 AM,0,0,0,43
44,44,0:00:44,12:00:44 AM,0,0,0,44
45,45,0:00:45,12:00:45 AM,0,0,0,45
46,46,0:00:46,12:00:46 AM,0,0,0,46
47,47,0:00:47,12:00:47 AM,0,0,0,47
48,48,0:00:48,12:00:48 AM,0,0,0,48
49,49,0:00:49,12:00:49 AM,0,0,0,49
50,50,0:00:50,12:00:50 AM,0,0,0,50
51,51,0:00:51,12:00:51 AM,0,0,0,51
52,52,0:00:52,12:00:52 AM,0,0,0,52
53,53,0:00:53,12:00:53 AM,0,0,0,53
54,54,0:00:54,12:00:54 AM,0,0,0,54
55,55,0:00:55,12:00:55 AM,0,0,0,55
56,56,0:00:56,12:00:56 AM,0,0,0,56
57,57,0:00:57,12:00:57 AM,0,0,0,57
58,58,0:00:58,12:00:58 AM,0,0,0,58
59,59,0:00:59,12:00:59 AM,0,0,0,59
100,60,0:01:00,12:01:00 AM,0,0,1,0
101,61,0:01:01,12:01:01 AM,0,0,1,1
102,62,0:01:02,12:01:02 AM,0,0,1,2
103,63,0:01:03,12:01:03 AM,0,0,1,3
104,64,0:01:04,12:01:04 AM,0,0,1,4
105,65,0:01:05,12:01:05 AM,0,0,1,5
106,66,0:01:06,12:01:06 AM,0,0,1,6
107,67,0:01:07,12:01:07 AM,0,0,1,7
108,68,0:01:08,12:01:08 AM,0,0,1,8
109,69,0:01:09,12:01:09 AM,0,0,1,9
110,70,0:01:10,12:01:10 AM,0,0,1,10
111,71,0:01:11,12:01:11 AM,0,0,1,11
112,72,0:01:12,12:01:12 AM,0,0,1,12
113,73,0:01:13,12:01:13 AM,0,0,1,13
114,74,0:01:14,12:01:14 AM,0,0,1,14
115,75,0:01:15,12:01:15 AM,0,0,1,15
116,76,0:01:16,12:01:16 AM,0,0,1,16
117,77,0:01:17,12:01:17 AM,0,0,1,17
118,78,0:01:18,12:01:18 AM,0,0,1,18
119,79,0:01:19,12:01:19 AM,0,0,1,19
120,80,0:01:20,12:01:20 AM,0,0,1,20
121,81,0:01:21,12:01:21 AM,0,0,1,21
122,82,0:01:22,12:01:22 AM,0,0,1,22
123,83,0:01:23,12:01:23 AM,0,0,1,23
124,84,0:01:24,12:01:24 AM,0,0,1,24
125,85,0:01:25,12:01:25 AM,0,0,1,25
126,86,0:01:26,12:01:26 AM,0,0,1,26
127,87,0:01:27,12:01:27 AM,0,0,1,27
128,88,0:01:28,12:01:28 AM,0,0,1,28
129,89,0:01:29,12:01:29 AM,0,0,1,29
130,90,0:01:30,12:01:30 AM,0,0,1,30
131,91,0:01:31,12:01:31 AM,0,0,1,31
132,92,0:01:32,12:01:32 AM,0,0,1,32
133,93,0:01:33,12:01:33 AM,0,0,1,33
134,94,0:01:34,12:01:34 AM,0,0,1,34
135,95,0:01:35,12:01:35 AM,0,0,1,35
136,96,0:01:36,12:01:36 AM,0,0,1,36
137,97,0:01:37,12:01:37 AM,0,0,1,37
138,98,0:01:38,12:01:38 AM,0,0,1,38
139,99,0:01:39,12:01:39 AM,0,0,1,39
140,100,0:01:40,12:01:40 AM,0,0,1,40
141,101,0:01:41,12:01:41 AM,0,0,1,41
142,102,0:01:42,12:01:42 AM,0,0,1,42
143,103,0:01:43,12:01:43 AM,0,0,1,43
144,104,0:01:44,12:01:44 AM,0,0,1,44
145,105,0:01:45,12:01:45 AM,0,0,1,45
146,106,0:01:46,12:01:46 AM,0,0,1,46
147,107,0:01:47,12:01:47 AM,0,0,1,47
148,108,0:01:48,12:01:48 AM,0,0,1,48
149,109,0:01:49,12:01:49 AM,0,0,1,49
150,110,0:01:50,12:01:50 AM,0,0,1,50
151,111,0:01:51,12:01:51 AM,0,0,1,51
152,112,0:01:52,12:01:52 AM,0,0,1,52
153,113,0:01:53,12:01:53 AM,0,0,1,53
154,114,0:01:54,12:01:54 AM,0,0,1,54
155,115,0:01:55,12:01:55 AM,0,0,1,55
156,116,0:01:56,12:01:56 AM,0,0,1,56
157,117,0:01:57,12:01:57 AM,0,0,1,57
158,118,0:01:58,12:01:58 AM,0,0,1,58
159,119,0:01:59,12:01:59 AM,0,0,1,59
200,120,0:02:00,12:02:00 AM,0,0,2,0
201,121,0:02:01,12:02:01 AM,0,0,2,1
202,122,0:02:02,12:02:02 AM,0,0,2,2
203,123,0:02:03,12:02:03 AM,0,0,2,3
204,124,0:02:04,12:02:04 AM,0,0,2,4
205,125,0:02:05,12:02:05 AM,0,0,2,5
206,126,0:02:06,12:02:06 AM,0,0,2,6
207,127,0:02:07,12:02:07 AM,0,0,2,7
208,128,0:02:08,12:02:08 AM,0,0,2,8
209,129,0:02:09,12:02:09 AM,0,0,2,9
210,130,0:02:10,12:02:10 AM,0,0,2,10
211,131,0:02:11,12:02:11 AM,0,0,2,11
212,132,0:02:12,12:02:12 AM,0,0,2,12
213,133,0:02:13,12:02:13 AM,0,0,2,13
214,134,0:02:14,12:02:14 AM,0,0,2,14
215,135,0:02:15,12:02:15 AM,0,0,2,15
216,136,0:02:16,12:02:16 AM,0,0,2,16
217,137,0:02:17,12:02:17 AM,0,0,2,17
218,138,0:02:18,12:02:18 AM,0,0,2,18
219,139,0:02:19,12:02:19 AM,0,0,2,19
220,140,0:02:20,12:02:20 AM,0,0,2,20
221,141,0:02:21,12:02:21 AM,0,0,2,21
222,142,0:02:22,12:02:22 AM,0,0,2,22
223,143,0:02:23,12:02:23 AM,0,0,2,23
224,144,0:02:24,12:02:24 AM,0,0,2,24
225,145,0:02:25,12:02:25 AM,0,0,2,25
226,146,0:02:26,12:02:26 AM,0,0,2,26
227,147,0:02:27,12:02:27 AM,0,0,2,27
228,148,0:02:28,12:02:28 AM,0,0,2,28
229,149,0:02:29,12:02:29 AM,0,0,2,29
230,150,0:02:30,12:02:30 AM,0,0,2,30
231,151,0:02:31,12:02:31 AM,0,0,2,31
232,152,0:02:32,12:02:32 AM,0,0,2,32
233,153,0:02:33,12:02:33 AM,0,0,2,33
234,154,0:02:34,12:02:34 AM,0,0,2,34
235,155,0:02:35,12:02:35 AM,0,0,2,35
236,156,0:02:36,12:02:36 AM,0,0,2,36
237,157,0:02:37,12:02:37 AM,0,0,2,37
238,158,0:02:38,12:02:38 AM,0,0,2,38
239,159,0:02:39,12:02:39 AM,0,0,2,39
240,160,0:02:40,12:02:40 AM,0,0,2,40
241,161,0:02:41,12:02:41 AM,0,0,2,41
242,162,0:02:42,12:02:42 AM,0,0,2,42
243,163,0:02:43,12:02:43 AM,0,0,2,43
244,164,0:02:44,12:02:44 AM,0,0,2,44
245,165,0:02:45,12:02:45 AM,0,0,2,45
246,166,0:02:46,12:02:46 AM,0,0,2,46
247,167,0:02:47,12:02:47 AM,0,0,2,47
248,168,0:02:48,12:02:48 AM,0,0,2,48
249,169,0:02:49,12:02:49 AM,0,0,2,49
250,170,0:02:50,12:02:50 AM,0,0,2,50
